1,MARY,SMITH,MARY.SMITH@gmail.com,244730712,3929119,44,199
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@gmail.com,653768961,5410117,32,199
3,LINDA,WILLIAMS,LINDA.WILLIAMS@outlook.com,113388620,4094799,10,4
4,BARBARA,JONES,BARBARA.JONES@yahoo.com,18167938,7794434,87,187
5,ELIZABETH,BROWN,ELIZABETH.BROWN@gmail.com,13108443,9557245,32,121
6,JENNIFER,DAVIS,JENNIFER.DAVIS@outlook.com,689950363,5433053,83,121
7,MARIA,MILLER,MARIA.MILLER@outlook.com,503273524,3905769,78,135
8,SUSAN,WILSON,SUSAN.WILSON@mail.com,346429478,8066363,52,179
9,MARGARET,MOORE,MARGARET.MOORE@outlook.com,969261945,5447723,73,104
10,DOROTHY,TAYLOR,DOROTHY.TAYLOR@outlook.com,3477188,5068617,57,104
11,LISA,ANDERSON,LISA.ANDERSON@gmail.com,459874478,9567390,9,104
12,NANCY,THOMAS,NANCY.THOMAS@yahoo.com,916502271,7415724,72,110
13,KAREN,JACKSON,KAREN.JACKSON@outlook.com,770707533,5739960,40,210
14,BETTY,WHITE,BETTY.WHITE@outlook.com,854472708,6100873,1,235
15,HELEN,HARRIS,HELEN.HARRIS@gmail.com,605136391,8773526,71,196
16,SANDRA,MARTIN,SANDRA.MARTIN@outlook.com,137089631,7448592,64,235
17,DONNA,THOMPSON,DONNA.THOMPSON@outlook.com,318426229,5415672,61,139
18,CAROL,GARCIA,CAROL.GARCIA@gmail.com,412311226,5081953,59,128
19,RUTH,MARTINEZ,RUTH.MARTINEZ@gmail.com,601468175,4528025,79,130
20,SHARON,ROBINSON,SHARON.ROBINSON@outlook.com,50874430,6837215,8,72
21,MICHELLE,CLARK,MICHELLE.CLARK@mail.com,647431164,3181171,88,70
22,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@outlook.com,780062637,6611199,45,92
23,SARAH,LEWIS,SARAH.LEWIS@yahoo.com,175716732,6038183,5,236
24,KIMBERLY,LEE,KIMBERLY.LEE@gmail.com,306700812,5599602,74,102
25,DEBORAH,WALKER,DEBORAH.WALKER@outlook.com,365983055,3522108,62,235
26,JESSICA,HALL,JESSICA.HALL@gmail.com,942136536,6928840,58,146
27,SHIRLEY,ALLEN,SHIRLEY.ALLEN@gmail.com,461939601,8343678,65,211
28,CYNTHIA,YOUNG,CYNTHIA.YOUNG@gmail.com,606443903,6914263,51,43
29,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@gmail.com,316122482,9379811,84,93
30,MELISSA,KING,MELISSA.KING@gmail.com,201988168,6030921,19,87
31,BRENDA,WRIGHT,BRENDA.WRIGHT@gmail.com,687877085,8733398,74,41
32,AMY,LOPEZ,AMY.LOPEZ@gmail.com,49477407,7998709,55,20
33,ANNA,HILL,ANNA.HILL@gmail.com,808198697,6644992,0,235
34,REBECCA,SCOTT,REBECCA.SCOTT@gmail.com,785049621,7744532,70,125
